"id","work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size","tech_hub","lat","long","cost_of_living_index","cost_of_lving_single_usd","cost_of_living_family4_usd","median_home_price_usd"
84,2022,"MI","FT","Analytics Engineer",78000,"USD",78000,"BR",100,"BR","M","Sao Paulo","-23.5506507","-46.6333824","44.2","660.9","2392.4",290691
85,2022,"MI","FT","Analytics Engineer",48000,"USD",48000,"BR",100,"BR","M","Sao Paulo","-23.5506507","-46.6333824","44.2","660.9","2392.4",290691
206,2022,"MI","FT","BI Analyst",78000,"USD",78000,"BR",100,"BR","M","Sao Paulo","-23.5506507","-46.6333824","44.2","660.9","2392.4",290691
207,2022,"MI","FT","BI Analyst",48000,"USD",48000,"BR",100,"BR","M","Sao Paulo","-23.5506507","-46.6333824","44.2","660.9","2392.4",290691
215,2022,"EN","FT","BI Data Analyst",32400,"BRL",6270,"BR",100,"BR","L","Sao Paulo","-23.5506507","-46.6333824","44.2","660.9","2392.4",290691
247,2022,"MI","FT","Business Data Analyst",48000,"BRL",9289,"BR",100,"BR","M","Sao Paulo","-23.5506507","-46.6333824","44.2","660.9","2392.4",290691
281,2021,"SE","FT","Computer Vision Engineer",24000,"USD",24000,"BR",100,"BR","M","Sao Paulo","-23.5506507","-46.6333824","44.2","660.9","2392.4",290691
284,2021,"SE","FT","Computer Vision Engineer",102000,"BRL",18907,"BR",0,"BR","M","Sao Paulo","-23.5506507","-46.6333824","44.2","660.9","2392.4",290691
762,2022,"EN","FT","Data Analyst",40300,"BRL",7799,"BR",100,"BR","L","Sao Paulo","-23.5506507","-46.6333824","44.2","660.9","2392.4",290691
1769,2022,"MI","FT","Data Engineer",78000,"USD",78000,"BR",100,"BR","M","Sao Paulo","-23.5506507","-46.6333824","44.2","660.9","2392.4",290691
1770,2022,"MI","FT","Data Engineer",42000,"USD",42000,"BR",100,"BR","M","Sao Paulo","-23.5506507","-46.6333824","44.2","660.9","2392.4",290691
2428,2023,"EN","FT","Data Scientist",101400,"BRL",19522,"BR",100,"BR","L","Sao Paulo","-23.5506507","-46.6333824","44.2","660.9","2392.4",290691
2718,2022,"MI","FT","Data Scientist",84000,"USD",84000,"BR",100,"BR","M","Sao Paulo","-23.5506507","-46.6333824","44.2","660.9","2392.4",290691
2719,2022,"MI","FT","Data Scientist",54000,"USD",54000,"BR",100,"BR","M","Sao Paulo","-23.5506507","-46.6333824","44.2","660.9","2392.4",290691
2994,2021,"MI","FT","Data Scientist",69600,"BRL",12901,"BR",0,"BR","S","Sao Paulo","-23.5506507","-46.6333824","44.2","660.9","2392.4",290691
