"id","work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size","tech_hub","lat","long","cost_of_living_index","cost_of_lving_single_usd","cost_of_living_family4_usd","median_home_price_usd"
4,2022,"SE","FT","AI Developer",275000,"USD",275000,"CA",0,"CA","S","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
10,2022,"EN","FT","AI Scientist",200000,"USD",200000,"CA",50,"CA","L","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
127,2021,"MI","FT","Applied Data Scientist",68000,"CAD",54238,"GB",50,"CA","L","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
237,2021,"SE","FT","Big Data Architect",125000,"CAD",99703,"CA",50,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
239,2022,"SE","FT","Big Data Engineer",210000,"CAD",161311,"CA",50,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
255,2022,"MI","FT","Business Data Analyst",90000,"CAD",69133,"CA",50,"CA","L","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
285,2023,"SE","FT","Computer Vision Software Engineer",50000,"EUR",53654,"NL",100,"CA","L","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
329,2023,"EN","FT","Data Analyst",55000,"CAD",40663,"CA",0,"CA","L","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
332,2023,"SE","FT","Data Analyst",175000,"USD",175000,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
333,2023,"SE","FT","Data Analyst",135000,"USD",135000,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
414,2023,"MI","FT","Data Analyst",130000,"USD",130000,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
415,2023,"MI","FT","Data Analyst",100000,"USD",100000,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
679,2022,"MI","FT","Data Analyst",100000,"USD",100000,"CA",0,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
680,2022,"MI","FT","Data Analyst",65000,"USD",65000,"CA",0,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
826,2022,"SE","FT","Data Analyst",130000,"USD",130000,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
827,2022,"SE","FT","Data Analyst",61300,"USD",61300,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
828,2022,"SE","FT","Data Analyst",130000,"USD",130000,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
829,2022,"SE","FT","Data Analyst",61300,"USD",61300,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
842,2022,"MI","FT","Data Analyst",85000,"USD",85000,"CA",0,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
843,2022,"MI","FT","Data Analyst",75000,"USD",75000,"CA",0,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
852,2022,"EN","FT","Data Analyst",67000,"USD",67000,"CA",0,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
853,2022,"EN","FT","Data Analyst",52000,"USD",52000,"CA",0,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
887,2021,"SE","FT","Data Analyst",90000,"CAD",71786,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
1014,2022,"SE","FT","Data Architect",192400,"USD",192400,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
1015,2022,"SE","FT","Data Architect",90700,"USD",90700,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
1170,2023,"SE","FT","Data Engineer",160000,"USD",160000,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
1171,2023,"SE","FT","Data Engineer",145000,"USD",145000,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
1418,2023,"SE","FT","Data Engineer",153000,"USD",153000,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
1419,2023,"SE","FT","Data Engineer",94000,"USD",94000,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
1633,2022,"SE","FT","Data Engineer",178000,"USD",178000,"CA",0,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
1634,2022,"SE","FT","Data Engineer",132000,"USD",132000,"CA",0,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
1865,2022,"SE","FT","Data Engineer",185800,"USD",185800,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
1866,2022,"SE","FT","Data Engineer",137400,"USD",137400,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
2082,2022,"EX","FT","Data Manager",164000,"CAD",125976,"CA",50,"CA","L","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
2132,2021,"SE","FT","Data Science Engineer",159500,"CAD",127221,"CA",50,"CA","L","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
2200,2023,"SE","FT","Data Scientist",175000,"USD",175000,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
2201,2023,"SE","FT","Data Scientist",120000,"USD",120000,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
2202,2023,"SE","FT","Data Scientist",219000,"USD",219000,"CA",0,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
2203,2023,"SE","FT","Data Scientist",141000,"USD",141000,"CA",0,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
2238,2023,"SE","FT","Data Scientist",224000,"USD",224000,"CA",0,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
2239,2023,"SE","FT","Data Scientist",176000,"USD",176000,"CA",0,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
2269,2023,"EN","FT","Data Scientist",70000,"CAD",51753,"CA",100,"CA","L","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
2300,2023,"SE","FT","Data Scientist",258000,"USD",258000,"CA",0,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
2301,2023,"SE","FT","Data Scientist",190000,"USD",190000,"CA",0,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
2342,2023,"SE","FT","Data Scientist",258000,"USD",258000,"CA",0,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
2343,2023,"SE","FT","Data Scientist",190000,"USD",190000,"CA",0,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
2556,2023,"SE","FT","Data Scientist",143100,"USD",143100,"CA",0,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
2557,2023,"SE","FT","Data Scientist",113000,"USD",113000,"CA",0,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
2564,2023,"SE","FT","Data Scientist",120000,"USD",120000,"CA",0,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
2565,2023,"SE","FT","Data Scientist",110000,"USD",110000,"CA",0,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
2721,2022,"EN","FT","Data Scientist",96000,"CAD",73742,"CA",100,"CA","L","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
2948,2022,"MI","FT","Data Scientist",88000,"CAD",67597,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
2949,2022,"EN","FT","Data Scientist",66500,"CAD",51081,"CA",100,"CA","L","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
2963,2021,"MI","FT","Data Scientist",95000,"CAD",75774,"CA",100,"CA","L","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
2974,2021,"SE","FT","Data Scientist",130000,"CAD",103691,"CA",100,"CA","L","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
2999,2021,"SE","FT","Data Scientist",110000,"CAD",87738,"CA",100,"CA","S","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
3024,2023,"SE","FT","Data Strategist",90000,"USD",90000,"CA",0,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
3025,2023,"SE","FT","Data Strategist",72000,"USD",72000,"CA",0,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
3035,2023,"SE","FT","Director of Data Science",170000,"CAD",125686,"CA",50,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
3037,2022,"EX","FT","Director of Data Science",250000,"CAD",192037,"CA",50,"CA","L","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
3081,2022,"EX","FT","Lead Data Engineer",150000,"CAD",115222,"CA",100,"CA","S","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
3099,2022,"MI","FT","Machine Learning Developer",100000,"CAD",76814,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
3100,2022,"SE","FT","Machine Learning Developer",100000,"CAD",76814,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
3134,2023,"SE","FT","Machine Learning Engineer",115000,"USD",115000,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
3135,2023,"SE","FT","Machine Learning Engineer",95000,"USD",95000,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
3187,2023,"SE","FT","Machine Learning Engineer",269000,"USD",269000,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
3188,2023,"SE","FT","Machine Learning Engineer",158000,"USD",158000,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
3300,2022,"SE","FT","Machine Learning Engineer",187200,"USD",187200,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
3301,2022,"SE","FT","Machine Learning Engineer",116100,"USD",116100,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
3309,2022,"SE","FT","Machine Learning Engineer",140000,"USD",140000,"CA",0,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
3310,2022,"SE","FT","Machine Learning Engineer",110000,"USD",110000,"CA",0,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
3382,2020,"SE","FT","Machine Learning Manager",157000,"CAD",117104,"CA",50,"CA","L","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
3391,2022,"MI","FT","Machine Learning Researcher",137000,"CAD",105236,"CA",50,"CA","L","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
3414,2021,"SE","FT","Machine Learning Scientist",225000,"USD",225000,"US",100,"CA","L","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
3420,2022,"SE","FT","Machine Learning Software Engineer",248400,"USD",248400,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
3421,2022,"SE","FT","Machine Learning Software Engineer",183600,"USD",183600,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
3422,2022,"SE","FT","Machine Learning Software Engineer",227200,"USD",227200,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
3423,2022,"SE","FT","Machine Learning Software Engineer",168000,"USD",168000,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
3430,2023,"SE","FT","ML Engineer",260000,"USD",260000,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
3431,2023,"SE","FT","ML Engineer",110000,"USD",110000,"CA",100,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
3468,2022,"MI","FT","Principal Data Analyst",75000,"USD",75000,"CA",100,"CA","S","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
3560,2023,"SE","FT","Research Scientist",248100,"USD",248100,"CA",0,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
3561,2023,"SE","FT","Research Scientist",145900,"USD",145900,"CA",0,"CA","M","Toronto","43.653226","-79.383184","72.6","1103","3986.3",951040
