"id","work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size","tech_hub","lat","long","cost_of_living_index","cost_of_lving_single_usd","cost_of_living_family4_usd","median_home_price_usd"
5,2023,"EN","FT","AI Developer",200000,"EUR",214618,"DE",100,"DE","L","Copenhagen","55.676098","12.568337","82.1","1199.9","4294.7",240000
6,2023,"EN","FT","AI Developer",60000,"EUR",64385,"DE",0,"DE","M","Copenhagen","55.676098","12.568337","82.1","1199.9","4294.7",240000
128,2023,"MI","FT","Applied Machine Learning Engineer",65000,"EUR",69751,"IN",100,"DE","S","Copenhagen","55.676098","12.568337","82.1","1199.9","4294.7",240000
130,2023,"EN","FT","Applied Machine Learning Scientist",40000,"EUR",42923,"DE",50,"DE","M","Copenhagen","55.676098","12.568337","82.1","1199.9","4294.7",240000
208,2023,"SE","FT","BI Data Analyst",67000,"EUR",71897,"DE",100,"DE","M","Copenhagen","55.676098","12.568337","82.1","1199.9","4294.7",240000
209,2022,"EN","FT","BI Data Analyst",58000,"EUR",60938,"DE",0,"DE","L","Copenhagen","55.676098","12.568337","82.1","1199.9","4294.7",240000
216,2022,"MI","FT","BI Data Analyst",48000,"EUR",50432,"DE",100,"DE","S","Copenhagen","55.676098","12.568337","82.1","1199.9","4294.7",240000
886,2021,"SE","FT","Data Analyst",54000,"EUR",63831,"DE",50,"DE","L","Copenhagen","55.676098","12.568337","82.1","1199.9","4294.7",240000
895,2021,"SE","FT","Data Analytics Engineer",67000,"EUR",79197,"DE",100,"DE","L","Copenhagen","55.676098","12.568337","82.1","1199.9","4294.7",240000
1383,2023,"EN","FT","Data Engineer",25000,"EUR",26827,"DE",100,"DE","L","Copenhagen","55.676098","12.568337","82.1","1199.9","4294.7",240000
1917,2022,"MI","FT","Data Engineer",62500,"EUR",65666,"DE",50,"DE","S","Copenhagen","55.676098","12.568337","82.1","1199.9","4294.7",240000
2000,2022,"MI","PT","Data Engineer",50000,"EUR",52533,"DE",50,"DE","L","Copenhagen","55.676098","12.568337","82.1","1199.9","4294.7",240000
2004,2020,"EN","FT","Data Engineer",48000,"EUR",54742,"PK",100,"DE","L","Copenhagen","55.676098","12.568337","82.1","1199.9","4294.7",240000
2005,2022,"EN","FT","Data Engineer",52800,"EUR",55475,"PK",100,"DE","M","Copenhagen","55.676098","12.568337","82.1","1199.9","4294.7",240000
2011,2020,"MI","FT","Data Engineer",51999,"EUR",59303,"DE",100,"DE","S","Copenhagen","55.676098","12.568337","82.1","1199.9","4294.7",240000
2038,2021,"EN","FT","Data Engineer",55000,"EUR",65013,"DE",50,"DE","M","Copenhagen","55.676098","12.568337","82.1","1199.9","4294.7",240000
2122,2021,"EN","FT","Data Science Consultant",54000,"EUR",63831,"DE",50,"DE","L","Copenhagen","55.676098","12.568337","82.1","1199.9","4294.7",240000
2124,2021,"EN","FT","Data Science Consultant",65000,"EUR",76833,"DE",100,"DE","S","Copenhagen","55.676098","12.568337","82.1","1199.9","4294.7",240000
2125,2021,"EN","FT","Data Science Consultant",65000,"EUR",76833,"DE",0,"DE","L","Copenhagen","55.676098","12.568337","82.1","1199.9","4294.7",240000
2334,2022,"MI","FT","Data Scientist",70000,"EUR",73546,"DE",100,"DE","M","Copenhagen","55.676098","12.568337","82.1","1199.9","4294.7",240000
2335,2023,"MI","FT","Data Scientist",56000,"EUR",60093,"AT",100,"DE","M","Copenhagen","55.676098","12.568337","82.1","1199.9","4294.7",240000
2636,2022,"MI","FT","Data Scientist",61000,"EUR",64090,"DE",0,"DE","M","Copenhagen","55.676098","12.568337","82.1","1199.9","4294.7",240000
2637,2022,"MI","FT","Data Scientist",58000,"EUR",60938,"DE",0,"DE","M","Copenhagen","55.676098","12.568337","82.1","1199.9","4294.7",240000
2763,2022,"MI","FT","Data Scientist",72000,"EUR",75648,"DE",100,"DE","S","Copenhagen","55.676098","12.568337","82.1","1199.9","4294.7",240000
2813,2022,"EN","FT","Data Scientist",50000,"USD",50000,"US",50,"DE","M","Copenhagen","55.676098","12.568337","82.1","1199.9","4294.7",240000
