"id","work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size","tech_hub","lat","long","cost_of_living_index","cost_of_lving_single_usd","cost_of_living_family4_usd","median_home_price_usd"
9,2023,"MI","FT","AI Scientist",36000,"EUR",38631,"ES",50,"ES","L","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
12,2022,"EN","FT","AI Scientist",30000,"EUR",31520,"PT",100,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
18,2021,"SE","FT","AI Scientist",55000,"USD",55000,"ES",100,"ES","L","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
238,2023,"MI","FT","Big Data Engineer",45000,"EUR",48289,"ES",100,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
246,2023,"EN","FT","Business Data Analyst",20000,"EUR",21461,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
499,2023,"SE","FT","Data Analyst",52000,"EUR",55800,"ES",100,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
500,2023,"SE","FT","Data Analyst",48000,"EUR",51508,"ES",100,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
565,2023,"SE","FT","Data Analyst",48000,"EUR",51508,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
566,2023,"SE","FT","Data Analyst",38000,"EUR",40777,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
567,2023,"SE","FT","Data Analyst",48000,"EUR",51508,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
568,2023,"SE","FT","Data Analyst",38000,"EUR",40777,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
621,2022,"SE","FT","Data Analyst",48000,"EUR",50432,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
622,2022,"SE","FT","Data Analyst",38000,"EUR",39925,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
727,2022,"SE","FT","Data Analyst",48000,"EUR",50432,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
728,2022,"SE","FT","Data Analyst",35000,"EUR",36773,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
749,2022,"SE","FT","Data Analyst",48000,"EUR",50432,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
750,2022,"SE","FT","Data Analyst",35000,"EUR",36773,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
758,2022,"SE","FT","Data Analyst",48000,"EUR",50432,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
759,2022,"SE","FT","Data Analyst",35000,"EUR",36773,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
806,2022,"MI","FT","Data Analyst",40000,"EUR",42026,"ES",100,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
807,2022,"MI","FT","Data Analyst",30000,"EUR",31520,"ES",100,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
871,2021,"EN","PT","Data Analyst",8760,"EUR",10354,"ES",50,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
1381,2023,"MI","FT","Data Engineer",62000,"EUR",66531,"ES",100,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
1382,2023,"MI","FT","Data Engineer",55000,"EUR",59020,"ES",100,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
1476,2023,"MI","FT","Data Engineer",95000,"USD",95000,"ES",100,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
1477,2023,"MI","FT","Data Engineer",80000,"USD",80000,"ES",100,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
1570,2022,"SE","FT","Data Engineer",70000,"EUR",73546,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
1571,2022,"SE","FT","Data Engineer",35000,"EUR",36773,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
1597,2022,"SE","FT","Data Engineer",65000,"EUR",68293,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
1598,2022,"SE","FT","Data Engineer",35000,"EUR",36773,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
1645,2022,"SE","FT","Data Engineer",65000,"EUR",68293,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
1646,2022,"SE","FT","Data Engineer",40000,"EUR",42026,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
1663,2022,"SE","FT","Data Engineer",65000,"EUR",68293,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
1664,2022,"SE","FT","Data Engineer",35000,"EUR",36773,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
1858,2022,"MI","FT","Data Engineer",80000,"EUR",84053,"ES",100,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
1859,2022,"MI","FT","Data Engineer",70000,"EUR",73546,"ES",100,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
1930,2022,"MI","FT","Data Engineer",80000,"EUR",84053,"ES",100,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
1931,2022,"MI","FT","Data Engineer",70000,"EUR",73546,"ES",100,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
1938,2022,"MI","FT","Data Engineer",60000,"EUR",63040,"ES",100,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
1939,2022,"MI","FT","Data Engineer",45000,"EUR",47280,"ES",100,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2017,2020,"EX","FT","Data Engineer",70000,"EUR",79833,"ES",50,"ES","L","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2119,2022,"EN","FT","Data Science Consultant",26000,"EUR",27317,"ES",50,"ES","L","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2126,2021,"EX","FT","Data Science Consultant",59000,"EUR",69741,"FR",100,"ES","S","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2222,2023,"SE","FT","Data Scientist",45000,"EUR",48289,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2223,2023,"SE","FT","Data Scientist",36000,"EUR",38631,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2251,2023,"SE","FT","Data Scientist",45000,"EUR",48289,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2252,2023,"SE","FT","Data Scientist",36000,"EUR",38631,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2288,2023,"SE","FT","Data Scientist",45000,"EUR",48289,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2289,2023,"SE","FT","Data Scientist",36000,"EUR",38631,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2367,2023,"MI","FT","Data Scientist",55000,"EUR",59020,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2368,2023,"MI","FT","Data Scientist",45000,"EUR",48289,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2404,2023,"SE","FT","Data Scientist",45000,"EUR",48289,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2405,2023,"SE","FT","Data Scientist",36000,"EUR",38631,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2595,2022,"SE","FT","Data Scientist",45000,"EUR",47280,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2596,2022,"SE","FT","Data Scientist",36000,"EUR",37824,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2611,2022,"SE","FT","Data Scientist",45000,"EUR",47280,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2612,2022,"SE","FT","Data Scientist",36000,"EUR",37824,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2630,2022,"SE","FT","Data Scientist",45000,"EUR",47280,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2631,2022,"SE","FT","Data Scientist",36000,"EUR",37824,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2648,2022,"SE","FT","Data Scientist",45000,"EUR",47280,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2649,2022,"SE","FT","Data Scientist",36000,"EUR",37824,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2663,2022,"SE","FT","Data Scientist",45000,"EUR",47280,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2664,2022,"SE","FT","Data Scientist",36000,"EUR",37824,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2693,2022,"SE","FT","Data Scientist",45000,"EUR",47280,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2694,2022,"SE","FT","Data Scientist",36000,"EUR",37824,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2755,2022,"SE","FT","Data Scientist",45000,"EUR",47280,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2756,2022,"SE","FT","Data Scientist",36000,"EUR",37824,"ES",0,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2834,2022,"EN","FT","Data Scientist",30000,"EUR",31520,"ES",50,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
2988,2021,"MI","FT","Data Scientist",32000,"EUR",37825,"ES",100,"ES","L","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
3001,2020,"MI","FT","Data Scientist",34000,"EUR",38776,"ES",100,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
3002,2021,"MI","FT","Data Scientist",39600,"EUR",46809,"ES",100,"ES","M","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
3357,2021,"MI","FT","Machine Learning Engineer",40000,"EUR",47282,"ES",100,"ES","S","Barcelona","41.385063","2.173404","57.4","845","2950.5",968274
