"id","work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size","tech_hub","lat","long","cost_of_living_index","cost_of_lving_single_usd","cost_of_living_family4_usd","median_home_price_usd"
210,2022,"MI","FT","BI Data Analyst",100000,"EUR",105066,"FR",50,"FR","M","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
280,2022,"MI","FT","Computer Vision Engineer",56000,"EUR",58837,"FR",100,"FR","S","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
784,2022,"EN","FT","Data Analyst",27000,"EUR",28368,"FR",50,"FR","M","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
873,2020,"MI","FT","Data Analyst",41000,"EUR",46759,"FR",50,"FR","L","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
876,2021,"EN","FT","Data Analyst",50000,"EUR",59102,"FR",50,"FR","M","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
1023,2023,"SE","FT","Data DevOps Engineer",50000,"EUR",53654,"FR",50,"FR","S","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
2007,2022,"MI","FT","Data Engineer",62000,"EUR",65141,"FR",100,"FR","M","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
2028,2020,"MI","FT","Data Engineer",61500,"EUR",70139,"FR",50,"FR","L","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
2196,2021,"SE","FT","Data Science Manager",152000,"USD",152000,"US",100,"FR","L","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
2381,2023,"MI","FT","Data Scientist",60000,"EUR",64385,"FR",50,"FR","M","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
2408,2023,"MI","FT","Data Scientist",40000,"USD",40000,"FR",50,"FR","L","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
2578,2022,"MI","FT","Data Scientist",90000,"EUR",94560,"FR",100,"FR","M","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
2579,2022,"MI","FT","Data Scientist",50000,"EUR",52533,"FR",100,"FR","M","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
2621,2022,"MI","FT","Data Scientist",60000,"EUR",63040,"FR",100,"FR","M","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
2622,2022,"MI","FT","Data Scientist",50000,"EUR",52533,"FR",100,"FR","M","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
2702,2022,"EN","FT","Data Scientist",38000,"EUR",39925,"FR",50,"FR","L","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
2855,2022,"EN","PT","Data Scientist",110000,"USD",110000,"DO",100,"FR","M","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
2960,2021,"EN","FT","Data Scientist",42000,"EUR",49646,"FR",50,"FR","M","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
2966,2021,"SE","FT","Data Scientist",45000,"EUR",53192,"FR",50,"FR","L","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
2972,2021,"EN","FT","Data Scientist",31000,"EUR",36643,"FR",50,"FR","L","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
2978,2021,"SE","FT","Data Scientist",65720,"EUR",77684,"FR",50,"FR","M","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
2983,2020,"EN","FT","Data Scientist",45000,"EUR",51321,"FR",0,"FR","S","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
2985,2020,"EN","FT","Data Scientist",35000,"EUR",39916,"FR",0,"FR","M","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
2995,2020,"MI","FT","Data Scientist",37000,"EUR",42197,"FR",50,"FR","S","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
3036,2022,"SE","FT","Director of Data Science",55000,"EUR",57786,"FR",50,"FR","L","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
3236,2022,"SE","FT","Machine Learning Engineer",80000,"EUR",84053,"FR",50,"FR","L","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
3284,2022,"SE","FT","Machine Learning Engineer",110000,"EUR",115573,"FR",100,"FR","M","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
3285,2022,"SE","FT","Machine Learning Engineer",70000,"EUR",73546,"FR",100,"FR","M","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
3373,2023,"SE","FT","Machine Learning Infrastructure Engineer",100000,"EUR",107309,"FR",100,"FR","M","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
3374,2023,"SE","FT","Machine Learning Infrastructure Engineer",70000,"EUR",75116,"FR",100,"FR","M","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
3385,2021,"EN","FT","Machine Learning Research Engineer",20000,"USD",20000,"FR",50,"FR","M","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
3589,2022,"SE","FT","Research Scientist",85000,"EUR",89306,"FR",50,"FR","L","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
3592,2021,"MI","FT","Research Scientist",53000,"EUR",62649,"FR",50,"FR","M","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
3600,2021,"MI","FT","Research Scientist",48000,"EUR",56738,"FR",50,"FR","S","Paris","48.8534951","2.3483915","76.9","1125.7","4021.5",1628182
