"id","work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size","tech_hub","lat","long","cost_of_living_index","cost_of_lving_single_usd","cost_of_living_family4_usd","median_home_price_usd"
20,2023,"SE","FT","Analytics Engineer",230000,"USD",230000,"GB",100,"GB","M","London","51.507351","-0.127758","83.6","1303.2","4457.6",1689022
21,2023,"SE","FT","Analytics Engineer",143200,"USD",143200,"GB",100,"GB","M","London","51.507351","-0.127758","83.6","1303.2","4457.6",1689022
72,2022,"MI","FT","Analytics Engineer",85000,"GBP",104663,"GB",0,"GB","M","London","51.507351","-0.127758","83.6","1303.2","4457.6",1689022
73,2022,"MI","FT","Analytics Engineer",60000,"GBP",73880,"GB",0,"GB","M","London","51.507351","-0.127758","83.6","1303.2","4457.6",1689022
80,2022,"SE","FT","Analytics Engineer",84000,"GBP",103432,"GB",0,"GB","M","London","51.507351","-0.127758","83.6","1303.2","4457.6",1689022
81,2022,"SE","FT","Analytics Engineer",75000,"GBP",92350,"GB",0,"GB","M","London","51.507351","-0.127758","83.6","1303.2","4457.6",1689022
100,2022,"SE","FT","Analytics Engineer",83376,"GBP",102663,"GB",100,"GB","M","London","51.507351","-0.127758","83.6","1303.2","4457.6",1689022
101,2022,"SE","FT","Analytics Engineer",65004,"GBP",80041,"GB",100,"GB","M","London","51.507351","-0.127758","83.6","1303.2","4457.6",1689022
126,2021,"EN","FT","Applied Data Scientist",80000,"GBP",110037,"GB",0,"GB","L","London","51.507351","-0.127758","83.6","1303.2","4457.6",1689022
136,2022,"SE","FT","Applied Machine Learning Scientist",73400,"EUR",77119,"FR",100,"GB","L","London","51.507351","-0.127758","83.6","1303.2","4457.6",1689022
236,2023,"SE","FT","Big Data Architect",124999,"GBP",151902,"GB",100,"GB","L","London","51.507351","-0.127758","83.6","1303.2","4457.6",1689022
241,2020,"SE","FT","Big Data Engineer",85000,"GBP",109024,"GB",50,"GB","M","London","51.507351","-0.127758","83.6","1303.2","4457.6",1689022
244,2020,"SE","FT","Big Data Engineer",100000,"EUR",114047,"PL",100,"GB","S","London","51.507351","-0.127758","83.6","1303.2","4457.6",1689022
