"id","work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size","tech_hub","lat","long","cost_of_living_index","cost_of_lving_single_usd","cost_of_living_family4_usd","median_home_price_usd"
1,2021,"MI","PT","3D Computer Vision Researcher",400000,"INR",5409,"IN",50,"IN","M","Bangalore","12.971599","77.594566","25.5","368.6","1290.3",121749
2,2022,"EN","FT","AI Developer",300000,"USD",300000,"IN",50,"IN","L","Bangalore","12.971599","77.594566","25.5","368.6","1290.3",121749
122,2023,"MI","FT","Applied Data Scientist",1700000,"INR",20670,"IN",100,"IN","L","Bangalore","12.971599","77.594566","25.5","368.6","1290.3",121749
137,2022,"MI","FL","Applied Machine Learning Scientist",2400000,"INR",30523,"IN",100,"IN","S","Bangalore","12.971599","77.594566","25.5","368.6","1290.3",121749
213,2022,"EN","FT","BI Data Analyst",633000,"INR",8050,"IN",100,"IN","M","Bangalore","12.971599","77.594566","25.5","368.6","1290.3",121749
242,2021,"EN","FT","Big Data Engineer",1200000,"INR",16228,"IN",100,"IN","L","Bangalore","12.971599","77.594566","25.5","368.6","1290.3",121749
243,2021,"MI","FT","Big Data Engineer",1672000,"INR",22611,"IN",0,"IN","L","Bangalore","12.971599","77.594566","25.5","368.6","1290.3",121749
250,2022,"MI","FT","Business Data Analyst",1440000,"INR",18314,"IN",50,"IN","L","Bangalore","12.971599","77.594566","25.5","368.6","1290.3",121749
254,2022,"MI","FT","Business Data Analyst",1400000,"INR",17805,"IN",100,"IN","M","Bangalore","12.971599","77.594566","25.5","368.6","1290.3",121749
277,2022,"MI","FT","Computer Vision Engineer",1250000,"INR",15897,"IN",100,"IN","M","Bangalore","12.971599","77.594566","25.5","368.6","1290.3",121749
449,2023,"EN","FT","Data Analyst",30000,"USD",30000,"IN",50,"IN","M","Bangalore","12.971599","77.594566","25.5","368.6","1290.3",121749
457,2023,"SE","FT","Data Analyst",1300000,"INR",15806,"IN",100,"IN","S","Bangalore","12.971599","77.594566","25.5","368.6","1290.3",121749
490,2023,"EN","PT","Data Analyst",78000,"PLN",17779,"PL",100,"IN","L","Bangalore","12.971599","77.594566","25.5","368.6","1290.3",121749
