"company_location","tech_hub","lat","long","average_salary_in_US_dollars","cost_of_living_index","cost_of_lving_single_usd","cost_of_living_family4_usd","median_home_price_usd"
"AU","Melbourne","-37.8142176","144.9632","80033.43","80.6","1147.3","4101.2",1023000
"BR","Sao Paulo","-23.5506507","-46.6333824","40579.20","44.2","660.9","2392.4",290691
"CA","Toronto","43.653226","-79.383184","131917.69","72.6","1103","3986.3",951040
"DE","Copenhagen","55.676098","12.568337","88288.80","82.1","1199.9","4294.7",240000
"ES","Barcelona","41.385063","2.173404","57676.06","57.4","845","2950.5",968274
"FR","Paris","48.8534951","2.3483915","66138.74","76.9","1125.7","4021.5",1628182
"GB","London","51.507351","-0.127758","86890.05","83.6","1303.2","4457.6",1689022
"GR","Thessaloniki","40.6403167","22.9352716","51792.50","56.3","863","2852.9",235872
"IN","Bangalore","12.971599","77.594566","30197.74","25.5","368.6","1290.3",121749
"MX","Guadalajara","20.6720375","-103.338396","97151.10","44","642.3","2337.2",122460
"NL","Eindhoven","51.4392648","5.478633","78738.31","69.7","1028.8","3598.7",328700
"PT","Lisbon","38.7077507","-9.1365919","50538.71","52.5","747.8","2632.5",714000
"US","San Jose","37.339386","-121.894956","151822.01","87.6","1359.4","4808.8",1090308
