"job_title","salary_in_usd"
"Analytics Engineer",230000
"Analytics Engineer",143200
"Analytics Engineer",152500
"Analytics Engineer",116450
"Analytics Engineer",289800
"Analytics Engineer",214000
"Analytics Engineer",179820
"Analytics Engineer",143860
"Analytics Engineer",289800
"Analytics Engineer",214200
"Analytics Engineer",230000
"Analytics Engineer",143200
"Analytics Engineer",150000
"Analytics Engineer",120000
"Analytics Engineer",190000
"Analytics Engineer",112000
"Analytics Engineer",152900
"Analytics Engineer",117100
"Analytics Engineer",173000
"Analytics Engineer",113000
"Analytics Engineer",221000
"Analytics Engineer",153000
"Analytics Engineer",179820
"Analytics Engineer",143860
"Analytics Engineer",179820
"Analytics Engineer",143860
"Analytics Engineer",130000
"Analytics Engineer",87000
"Analytics Engineer",275300
"Analytics Engineer",183500
"Analytics Engineer",185700
"Analytics Engineer",165000
"Analytics Engineer",170000
"Analytics Engineer",130000
"Analytics Engineer",150000
"Analytics Engineer",120000
"Analytics Engineer",197000
"Analytics Engineer",106000
"Analytics Engineer",175000
"Analytics Engineer",140000
"Analytics Engineer",200000
"Analytics Engineer",175000
"Analytics Engineer",231250
"Analytics Engineer",138750
"Analytics Engineer",207000
"Analytics Engineer",167000
"Analytics Engineer",122500
"Analytics Engineer",100000
"Analytics Engineer",170000
"Analytics Engineer",125000
"Analytics Engineer",135000
"Analytics Engineer",110000
"Analytics Engineer",104663
"Analytics Engineer",73880
"Analytics Engineer",193750
"Analytics Engineer",116250
"Analytics Engineer",231250
"Analytics Engineer",138750
"Analytics Engineer",231250
"Analytics Engineer",138750
"Analytics Engineer",103432
"Analytics Engineer",92350
"Analytics Engineer",210000
"Analytics Engineer",157000
"Analytics Engineer",78000
"Analytics Engineer",48000
"Analytics Engineer",150000
"Analytics Engineer",120000
"Analytics Engineer",108000
"Analytics Engineer",85000
"Analytics Engineer",130000
"Analytics Engineer",110000
"Analytics Engineer",130000
"Analytics Engineer",110000
"Analytics Engineer",190000
"Analytics Engineer",140000
"Analytics Engineer",122500
"Analytics Engineer",100000
"Analytics Engineer",165000
"Analytics Engineer",140250
"Analytics Engineer",102663
"Analytics Engineer",80041
"Analytics Engineer",250000
"Analytics Engineer",63000
"Analytics Engineer",250000
"Analytics Engineer",63000
"Analytics Engineer",245000
"Analytics Engineer",180000
"Analytics Engineer",203500
"Analytics Engineer",152000
"Analytics Engineer",200000
"Analytics Engineer",150000
"Analytics Engineer",170000
"Analytics Engineer",135000
"Analytics Engineer",48000
"Analytics Engineer",200000
"Analytics Engineer",54000
"Analytics Engineer",130000
"Analytics Engineer",175000
"Analytics Engineer",135000
"Analytics Engineer",205300
"Analytics Engineer",184700
"Data Analyst",130000
"Data Analyst",100000
"Data Analyst",150000
"Data Analyst",110000
"Data Analyst",105380
"Data Analyst",64500
"Data Analyst",202800
"Data Analyst",104300
"Data Analyst",145000
"Data Analyst",65000
"Data Analyst",75000
"Data Analyst",70000
"Data Analyst",204500
"Data Analyst",138900
"Data Analyst",46178
"Data Analyst",42533
"Data Analyst",168400
"Data Analyst",105200
"Data Analyst",85000
"Data Analyst",75000
"Data Analyst",120000
"Data Analyst",75000
"Data Analyst",140000
"Data Analyst",120000
"Data Analyst",135000
"Data Analyst",105500
"Data Analyst",80000
"Data Analyst",70000
"Data Analyst",200000
"Data Analyst",148500
"Data Analyst",149500
"Data Analyst",127075
"Data Analyst",187000
"Data Analyst",128000
"Data Analyst",142000
"Data Analyst",75000
"Data Analyst",125000
"Data Analyst",112000
"Data Analyst",139000
"Data Analyst",106000
"Data Analyst",40663
"Data Analyst",140000
"Data Analyst",120000
"Data Analyst",175000
"Data Analyst",135000
"Data Analyst",90000
"Data Analyst",75000
"Data Analyst",155000
"Data Analyst",106000
"Data Analyst",105000
"Data Analyst",90000
"Data Analyst",135000
"Data Analyst",105500
"Data Analyst",80000
"Data Analyst",70000
"Data Analyst",64200
"Data Analyst",56100
"Data Analyst",208450
"Data Analyst",170550
"Data Analyst",153600
"Data Analyst",100500
"Data Analyst",182500
"Data Analyst",121500
"Data Analyst",72914
"Data Analyst",54685
"Data Analyst",100000
"Data Analyst",80000
"Data Analyst",175000
"Data Analyst",145000
"Data Analyst",148700
"Data Analyst",125600
"Data Analyst",185000
"Data Analyst",120250
"Data Analyst",208049
"Data Analyst",128500
"Data Analyst",190000
"Data Analyst",95000
"Data Analyst",153600
"Data Analyst",106800
"Data Analyst",128000
"Data Analyst",85000
"Data Analyst",135000
"Data Analyst",105500
"Data Analyst",100000
"Data Analyst",80000
"Data Analyst",154000
"Data Analyst",143000
"Data Analyst",85000
"Data Analyst",75000
"Data Analyst",83500
"Data Analyst",52500
"Data Analyst",165000
"Data Analyst",140000
"Data Analyst",180180
"Data Analyst",106020
"Data Analyst",153600
"Data Analyst",100500
"Data Analyst",206500
"Data Analyst",121600
"Data Analyst",95000
"Data Analyst",70000
"Data Analyst",115934
"Data Analyst",81666
"Data Analyst",206000
"Data Analyst",130000
"Data Analyst",110000
"Data Analyst",75000
"Data Analyst",160000
"Data Analyst",112000
"Data Analyst",100000
"Data Analyst",85000
"Data Analyst",185000
"Data Analyst",120250
"Data Analyst",70000
"Data Analyst",55000
"Data Analyst",75000
"Data Analyst",65000
"Data Analyst",180180
"Data Analyst",106020
"Data Analyst",75000
"Data Analyst",60000
"Data Analyst",169000
"Data Analyst",110600
"Data Analyst",250000
"Data Analyst",138000
"Data Analyst",130000
"Data Analyst",100000
"Data Analyst",127000
"Data Analyst",94000
"Data Analyst",161500
"Data Analyst",119500
"Data Analyst",175000
"Data Analyst",145000
"Data Analyst",185900
"Data Analyst",121700
"Data Analyst",153600
"Data Analyst",106800
"Data Analyst",100000
"Data Analyst",125000
"Data Analyst",110000
"Data Analyst",150000
"Data Analyst",100000
"Data Analyst",97218
"Data Analyst",48609
"Data Analyst",95000
"Data Analyst",85500
"Data Analyst",185900
"Data Analyst",121700
"Data Analyst",120000
"Data Analyst",75000
"Data Analyst",78990
"Data Analyst",43809
"Data Analyst",180000
"Data Analyst",110000
"Data Analyst",85000
"Data Analyst",75000
"Data Analyst",145000
"Data Analyst",90000
"Data Analyst",95000
"Data Analyst",85500
"Data Analyst",30000
"Data Analyst",34320
"Data Analyst",175000
"Data Analyst",130000
"Data Analyst",122000
"Data Analyst",93800
"Data Analyst",165000
"Data Analyst",112000
"Data Analyst",15806
"Data Analyst",185900
"Data Analyst",121700
"Data Analyst",180180
"Data Analyst",106020
"Data Analyst",125000
"Data Analyst",110000
"Data Analyst",152380
"Data Analyst",121904
"Data Analyst",170500
"Data Analyst",85000
"Data Analyst",179975
"Data Analyst",86466
"Data Analyst",169000
"Data Analyst",110600
"Data Analyst",230000
"Data Analyst",180000
"Data Analyst",153600
"Data Analyst",106800
"Data Analyst",165000
"Data Analyst",125000
"Data Analyst",95000
"Data Analyst",85500
"Data Analyst",110000
"Data Analyst",80000
"Data Analyst",55000
"Data Analyst",48000
"Data Analyst",95000
"Data Analyst",85000
"Data Analyst",80000
"Data Analyst",60000
"Data Analyst",142000
"Data Analyst",95000
"Data Analyst",17779
"Data Analyst",120000
"Data Analyst",75000
"Data Analyst",169000
"Data Analyst",110600
"Data Analyst",75000
"Data Analyst",60000
"Data Analyst",227000
"Data Analyst",108000
"Data Analyst",55800
"Data Analyst",51508
"Data Analyst",60000
"Data Analyst",50000
"Data Analyst",80000
"Data Analyst",52500
"Data Analyst",85000
"Data Analyst",75000
"Data Analyst",153600
"Data Analyst",106800
"Data Analyst",165000
"Data Analyst",124000
"Data Analyst",115934
"Data Analyst",81666
"Data Analyst",125000
"Data Analyst",105000
"Data Analyst",109371
"Data Analyst",85066
"Data Analyst",55000
"Data Analyst",48000
"Data Analyst",100000
"Data Analyst",385000
"Data Analyst",60000
"Data Analyst",110000
"Data Analyst",95000
"Data Analyst",180180
"Data Analyst",106020
"Data Analyst",93919
"Data Analyst",51962
"Data Analyst",192500
"Data Analyst",140000
"Data Analyst",60761
"Data Analyst",54685
"Data Analyst",130000
"Data Analyst",100000
"Data Analyst",153600
"Data Analyst",106800
"Data Analyst",150000
"Data Analyst",100000
"Data Analyst",180180
"Data Analyst",106020
"Data Analyst",122000
"Data Analyst",94000
"Data Analyst",175000
"Data Analyst",145000
"Data Analyst",103200
"Data Analyst",61200
"Data Analyst",130000
"Data Analyst",87000
"Data Analyst",160000
"Data Analyst",108000
"Data Analyst",30000
"Data Analyst",206000
"Data Analyst",160000
"Data Analyst",109000
"Data Analyst",79000
"Data Analyst",160000
"Data Analyst",125600
"Data Analyst",141290
"Data Analyst",74178
"Data Analyst",80000
"Data Analyst",52500
"Data Analyst",90000
"Data Analyst",80000
"Data Analyst",150000
"Data Analyst",100000
"Data Analyst",51508
"Data Analyst",40777
"Data Analyst",51508
"Data Analyst",40777
"Data Analyst",120000
"Data Analyst",100000
"Data Analyst",145000
"Data Analyst",102500
"Data Analyst",135000
"Data Analyst",105500
"Data Analyst",78990
"Data Analyst",43809
"Data Analyst",116000
"Data Analyst",72000
"Data Analyst",120000
"Data Analyst",80000
"Data Analyst",150000
"Data Analyst",100000
"Data Analyst",240500
"Data Analyst",137500
"Data Analyst",25216
"Data Analyst",125000
"Data Analyst",85000
"Data Analyst",130000
"Data Analyst",80000
"Data Analyst",155000
"Data Analyst",64000
"Data Analyst",14307
"Data Analyst",150000
"Data Analyst",100000
"Data Analyst",150000
"Data Analyst",100000
"Data Analyst",150000
"Data Analyst",100000
"Data Analyst",149000
"Data Analyst",119000
"Data Analyst",75000
"Data Analyst",60000
"Data Analyst",120000
"Data Analyst",95000
"Data Analyst",150000
"Data Analyst",100000
"Data Analyst",115934
"Data Analyst",81666
"Data Analyst",55000
"Data Analyst",48000
"Data Analyst",127000
"Data Analyst",104000
"Data Analyst",102640
"Data Analyst",66100
"Data Analyst",150000
"Data Analyst",100000
"Data Analyst",115934
"Data Analyst",81666
"Data Analyst",430967
"Data Analyst",55410
"Data Analyst",50432
"Data Analyst",39925
"Data Analyst",169000
"Data Analyst",110600
"Data Analyst",75000
"Data Analyst",60000
"Data Analyst",50000
"Data Analyst",166700
"Data Analyst",119000
"Data Analyst",100000
"Data Analyst",65000
"Data Analyst",16904
"Data Analyst",50000
"Data Analyst",150000
"Data Analyst",100000
"Data Analyst",115934
"Data Analyst",81666
"Data Analyst",120000
"Data Analyst",95000
"Data Analyst",201000
"Data Analyst",89200
"Data Analyst",192500
"Data Analyst",140000
"Data Analyst",65000
"Data Analyst",55000
"Data Analyst",115000
"Data Analyst",171000
"Data Analyst",150000
"Data Analyst",100000
"Data Analyst",165000
"Data Analyst",124000
"Data Analyst",169000
"Data Analyst",110600
"Data Analyst",116000
"Data Analyst",96000
"Data Analyst",92350
"Data Analyst",70186
"Data Analyst",105000
"Data Analyst",70000
"Data Analyst",100000
"Data Analyst",70000
"Data Analyst",130000
"Data Analyst",100000
"Data Analyst",160000
"Data Analyst",109000
"Data Analyst",206000
"Data Analyst",160000
"Data Analyst",150000
"Data Analyst",100000
"Data Analyst",169000
"Data Analyst",110600
"Data Analyst",80000
"Data Analyst",130000
"Data Analyst",100000
"Data Analyst",165000
"Data Analyst",124000
"Data Analyst",150000
"Data Analyst",100000
"Data Analyst",100000
"Data Analyst",65000
"Data Analyst",177000
"Data Analyst",131000
"Data Analyst",169000
"Data Analyst",110600
"Data Analyst",150000
"Data Analyst",100000
"Data Analyst",110000
"Data Analyst",95000
"Data Analyst",169000
"Data Analyst",110600
"Data Analyst",115934
"Data Analyst",81666
"Data Analyst",154560
"Data Analyst",123648
"Data Analyst",130000
"Data Analyst",100000
"Data Analyst",130000
"Data Analyst",105000
"Data Analyst",206000
"Data Analyst",160000
"Data Analyst",109000
"Data Analyst",79000
"Data Analyst",160000
"Data Analyst",109000
"Data Analyst",127000
"Data Analyst",110000
"Data Analyst",169000
"Data Analyst",110600
"Data Analyst",150000
"Data Analyst",100000
"Data Analyst",120000
"Data Analyst",95000
"Data Analyst",64000
"Data Analyst",150000
"Data Analyst",127000
"Data Analyst",166700
"Data Analyst",119000
"Data Analyst",130000
"Data Analyst",100000
"Data Analyst",80000
"Data Analyst",52500
"Data Analyst",135000
"Data Analyst",100000
"Data Analyst",125404
"Data Analyst",80000
"Data Analyst",52500
"Data Analyst",50432
"Data Analyst",36773
"Data Analyst",150000
"Data Analyst",95000
"Data Analyst",175950
"Data Analyst",130050
"Data Analyst",236600
"Data Analyst",89200
"Data Analyst",169000
"Data Analyst",110600
"Data Analyst",85000
"Data Analyst",65000
"Data Analyst",169000
"Data Analyst",110600
"Data Analyst",139600
"Data Analyst",85700
"Data Analyst",115000
"Data Analyst",95000
"Data Analyst",105000
"Data Analyst",62000
"Data Analyst",115934
"Data Analyst",81666
"Data Analyst",50432
"Data Analyst",36773
"Data Analyst",90000
"Data Analyst",42028
"Data Analyst",20000
"Data Analyst",99750
"Data Analyst",68400
"Data Analyst",110000
"Data Analyst",99000
"Data Analyst",50432
"Data Analyst",36773
"Data Analyst",144000
"Data Analyst",113000
"Data Analyst",7799
"Data Analyst",136000
"Data Analyst",112000
"Data Analyst",97500
"Data Analyst",6359
"Data Analyst",115000
"Data Analyst",46000
"Data Analyst",113000
"Data Analyst",216200
"Data Analyst",144100
"Data Analyst",117000
"Data Analyst",99450
"Data Analyst",86193
"Data Analyst",61566
"Data Analyst",175000
"Data Analyst",130000
"Data Analyst",5723
"Data Analyst",216200
"Data Analyst",144100
"Data Analyst",150000
"Data Analyst",55000
"Data Analyst",130000
"Data Analyst",28368
"Data Analyst",128875
"Data Analyst",93700
"Data Analyst",136260
"Data Analyst",109280
"Data Analyst",117000
"Data Analyst",99450
"Data Analyst",150075
"Data Analyst",110925
"Data Analyst",22809
"Data Analyst",112900
"Data Analyst",90320
"Data Analyst",112900
"Data Analyst",90320
"Data Analyst",115934
"Data Analyst",81666
"Data Analyst",164000
"Data Analyst",132000
"Data Analyst",128875
"Data Analyst",93700
"Data Analyst",49253
"Data Analyst",36940
"Data Analyst",42026
"Data Analyst",31520
"Data Analyst",42026
"Data Analyst",31520
"Data Analyst",58000
"Data Analyst",58000
"Data Analyst",124190
"Data Analyst",90320
"Data Analyst",126500
"Data Analyst",106260
"Data Analyst",116000
"Data Analyst",99000
"Data Analyst",155000
"Data Analyst",120600
"Data Analyst",102100
"Data Analyst",84900
"Data Analyst",130000
"Data Analyst",110000
"Data Analyst",170000
"Data Analyst",135000
"Data Analyst",130000
"Data Analyst",61300
"Data Analyst",130000
"Data Analyst",61300
"Data Analyst",167000
"Data Analyst",115500
"Data Analyst",112900
"Data Analyst",90320
"Data Analyst",112900
"Data Analyst",90320
"Data Analyst",136600
"Data Analyst",109280
"Data Analyst",116150
"Data Analyst",99050
"Data Analyst",112900
"Data Analyst",90320
"Data Analyst",85000
"Data Analyst",75000
"Data Analyst",115934
"Data Analyst",81666
"Data Analyst",61566
"Data Analyst",43096
"Data Analyst",80000
"Data Analyst",60000
"Data Analyst",170000
"Data Analyst",150000
"Data Analyst",67000
"Data Analyst",52000
"Data Analyst",129000
"Data Analyst",99000
"Data Analyst",100000
"Data Analyst",69000
"Data Analyst",150075
"Data Analyst",110925
"Data Analyst",126500
"Data Analyst",106260
"Data Analyst",105000
"Data Analyst",100000
